Nom commun utilisé par le COSEPAC,Population selon le COSEPAC,Statut selon le COSEPAC,Date de la dernière évaluation par le COSEPAC,Nom scientifique,Nom commun inscrit à la Loi,Population inscrite à la Loi,Statut à l’annexe 1,Date du dernier changement de statut,Annexe de la LEP,Date ajoutée,Aire de répartition,Groupe taxinomique,En cours d’examen aux fins de,Décision du GEC
Saumon rouge,Population Cultus-T,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Cultus-T,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Francois-Fraser-E,Préoccupante,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Francois-Fraser-E,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Fraser-DE (originale),En voie de disparition,2021-12-01,Oncorhynchus nerka,Saumon rouge,Population Fraser-DE (originale),Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Harrison (amont)-T,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Harrison (amont)-T,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Harrison (aval)-T,Préoccupante,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Harrison (aval)-T,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Harrison - Rivière,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Kamloops-DE,Préoccupante,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Kamloops-DE,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Lillooet-Harrison-T,Préoccupante,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Lillooet-Harrison-T,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Momich-DE (originale),En voie de disparition,2021-12-01,Oncorhynchus nerka,Saumon rouge,Population Momich-DE (originale),Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Nadina-Francois-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Nahatlatch-DE,Préoccupante,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Nahatlatch-DE,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population North Barriere-DE,Menacée,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population North Barriere-DE,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population North Barriere-DE (originale),Disparue,2021-12-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Pitt-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Quesnel-E,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Quesnel-E,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Sakinaw,En voie de disparition,2016-04-29,Oncorhynchus nerka,Saumon rouge,Population Sakinaw,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Seton-E (originale),Disparue,2021-12-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Seton-T,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Seton-T,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Shuswap-DE,Non en péril,2017-11-01,Oncorhynchus nerka,,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,,
Saumon rouge,Population Takla-Trembleur-à montaison hâtive dans la Stuart,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Takla-Trembleur-à montaison hâtive dans la Stuart,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Takla-Trembleur-Stuart-E,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Takla-Trembleur-Stuart-E,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Taseko-DE,En voie de disparition,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Taseko-DE,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Saumon rouge,Population Widgeon - Rivière,Menacée,2017-11-01,Oncorhynchus nerka,Saumon rouge,Population Widgeon - Rivière,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Poissons marins,Un ajout,En attente
Sauterelle de Davis,,Menacée,2020-11-04,Atlanticus davisi,Sauterelle de Davis,,Aucun statut,,Aucune annexe,,Ontario,Arthropodes,Un ajout,En attente
Sauterelle de l’île de Vancouver,,En voie de disparition,2022-05-11,Steiroxys strepens,Sauterelle de l’île de Vancouver,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Arthropodes,Un ajout,En attente
Saxifrage à épis,,Préoccupante,2015-05-01,Micranthes spicata,Saxifrage à épis,,Préoccupante,2019-02-25,Annexe 1,2019-02-25,Yukon,Plantes vasculaires,,Ajout à la liste
Scinque de l'Ouest,,Préoccupante,2014-11-28,Plestiodon skiltonianus,Scinque de l'Ouest,,Préoccupante,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Reptiles,,Ajout à la liste
Scinque des prairies,,Préoccupante,2017-11-01,Plestiodon septentrionalis,Scinque des Prairies,,Préoccupante,2021-04-23,Annexe 1,2005-07-14,Manitoba,Reptiles,,Rétrograder: En voie de disparition à préoccupante
Scinque pentaligne,,Non active,2007-04-22,Plestiodon fasciatus,Scinque pentaligne,,,,,,Ontario,Reptiles,,
Scinque pentaligne commun,Population carolinienne,En voie de disparition,2021-05-05,Plestiodon fasciatus,Scinque pentaligne,Population carolinienne,En voie de disparition,2009-03-05,Annexe 1,2009-03-05,Ontario,Reptiles,,Ajout à la liste
Scinque pentaligne commun,Population des Grands Lacs et du Saint-Laurent,Préoccupante,2021-05-05,Plestiodon fasciatus,Scinque pentaligne,Population des Grands Lacs et du Saint-Laurent,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Ontario,Reptiles,,Ajout à la liste
Scirpe de Long,,Préoccupante,2017-04-28,Scirpus longii,Scirpe de Long,,Préoccupante,2021-08-12,Annexe 1,2021-08-12,Nouvelle-Écosse,Plantes vasculaires,,Ajout à la liste
Sclérophore givré,Population de l'Atlantique,Préoccupante,2014-11-28,Sclerophora peronella,Sclérophore givré,Population de l'Atlantique,Préoccupante,2006-08-15,Annexe 1,2006-08-15,Nouvelle-Écosse,Lichens,,Ajout à la liste
Sclérophore givré,Population du Pacifique,Données insuffisantes,2014-11-28,Sclerophora peronella,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Lichens,,
Scolie dorée,,Préoccupante,2018-11-01,Dielis pilipes,Scolie dorée,,Préoccupante,2023-02-03,Annexe 1,2023-02-03,Colombie-Britannique,Arthropodes,,Ajout à la liste
Scolopendre d'Amérique,,Préoccupante,2016-11-27,Asplenium scolopendrium var. americanum,Scolopendre d'Amérique,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Scoulérie à feuilles marginées,,En voie de disparition,2012-05-04,Scouleria marginata,Scoulérie à feuilles marginées,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Mousses,,Ajout à la liste
Sébaste à bouche jaune,,Menacée,2010-04-25,Sebastes reedi,Sébaste à bouche jaune,,Aucun statut,2017-04-13,Aucune annexe,,Océan Pacifique,Poissons marins,,Ne pas inscrire
Sébaste à dos épineux,,Menacée,2009-11-27,Sebastes maliger,Sébaste à dos épineux,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,Un ajout,En attente
Sébaste à oeil épineux du type I,,Préoccupante,2007-04-22,Sebastes sp. type I,Sébaste à oeil épineux du type I,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Océan Pacifique,Poissons marins,,Ajout à la liste
Sébaste à oeil épineux du type II,,Préoccupante,2007-04-22,Sebastes sp. type II,Sébaste à oeil épineux du type II,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Océan Pacifique,Poissons marins,,Ajout à la liste
Sébaste atlantique,Population du golfe du Saint-Laurent et du chenal Laurentien,En voie de disparition,2010-04-25,Sebastes mentella,Sébaste atlantique,Population du golfe du Saint-Laurent et du chenal Laurentien,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Sébaste atlantique,Population du Nord,Menacée,2010-04-25,Sebastes mentella,Sébaste atlantique,Population du Nord,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Sébaste aux yeux jaunes,Population des eaux extérieures de l'océan Pacifique,Menacée,2020-11-04,Sebastes ruberrimus,Sébaste aux yeux jaunes,Population des eaux extérieures de l'océan Pacifique,Préoccupante,,Annexe 1,2011-06-23,"Colombie-Britannique, Océan Pacifique",Poissons marins,Changement de statut,En attente
Sébaste aux yeux jaunes,Population des eaux intérieures de l'océan Pacifique,Menacée,2020-11-04,Sebastes ruberrimus,Sébaste aux yeux jaunes,Population des eaux intérieures de l'océan Pacifique,Préoccupante,,Annexe 1,2011-06-23,"Colombie-Britannique, Océan Pacifique",Poissons marins,Changement de statut,En attente
Sébaste canari,,Menacée,2007-11-30,Sebastes pinniger,Sébaste canari,,Aucun statut,2011-06-23,Aucune annexe,,Océan Pacifique,Poissons marins,,Ne pas inscrire
Sébaste d'Acadie,Population de l'Atlantique,Menacée,2010-04-25,Sebastes fasciatus,Sébaste d'Acadie,Population de l'Atlantique,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Sébaste d'Acadie,Population de la baie Bonne,Préoccupante,2010-04-25,Sebastes fasciatus,Sébaste d'Acadie,Population de la baie Bonne,Aucun statut,,Aucune annexe,,Océan Atlantique,Poissons marins,Un ajout,En attente
Sébaste tacheté,,Préoccupante,2009-11-27,Sebastes crameri,Sébaste tacheté,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,Un ajout,En attente
Sébastolobe à longues épines,,Préoccupante,2007-04-22,Sebastolobus altivelis,Sébastolobe à longues épines,,Préoccupante,2009-03-05,Annexe 1,2009-03-05,Océan Pacifique,Poissons marins,,Ajout à la liste
Séligérie à feuilles aiguës,,En voie de disparition,2018-04-27,Seligeria acutifolia,Séligérie à feuilles aiguës,,En voie de disparition,2021-04-23,Annexe 1,2021-04-23,Colombie-Britannique,Mousses,,Ajout à la liste
Séligérie de Carey,,En voie de disparition,2019-05-03,Seligeria careyana,Séligérie de Carey,,En voie de disparition,2023-02-03,Annexe 1,2023-02-03,Colombie-Britannique,Mousses,,Ajout à la liste
Silène de Spalding,,En voie de disparition,2005-05-05,Silene spaldingii,Silène de Spalding,,En voie de disparition,2006-08-15,Annexe 1,2006-08-15,Colombie-Britannique,Plantes vasculaires,,Ajout à la liste
Silphe térébenthine,,Préoccupante,2024-05-09,Silphium terebinthinaceum,Silphe térébenthine,,Aucun statut,,Aucune annexe,,Ontario,Plantes vasculaires,Un ajout,En attente
Smilax à feuilles rondes,Population de l'Atlantique,Non en péril,2007-11-30,Smilax rotundifolia,,,Aucun statut,,Aucune annexe,,Nouvelle-Écosse,Plantes vasculaires,,
Smilax à feuilles rondes,Population des plaines des Grands Lacs,Menacée,2007-11-30,Smilax rotundifolia,Smilax à feuilles rondes,Population des plaines des Grands Lacs,Menacée,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Solaster géant,,En voie de disparition,2025-05-08,Pycnopodia helianthoides,Solaster géant,,Aucun statut,,Aucune annexe,,"Colombie-Britannique, Océan Pacifique",Échinodermes,Un ajout,En attente
Souris des moissons de la sous-espèce dychei,,En voie de disparition,2019-11-29,Reithrodontomys megalotis dychei,Souris des moissons de la sous-espèce dychei,,En voie de disparition,2009-03-05,Annexe 1,2009-03-05,Alberta,Mammifères terrestres,,Ajout à la liste
Souris des moissons de la sous-espèce megalotis,,En voie de disparition,2019-11-29,Reithrodontomys megalotis megalotis,Souris des moissons de la sous-espèce megalotis,,Préoccupante,,Annexe 1,2009-03-05,Colombie-Britannique,Mammifères terrestres,Changement de statut,En attente
Spatulaire,,Disparue du pays,2019-05-03,Polyodon spathula,Spatulaire,,Disparue du pays,2003-06-05,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,Ajout à la liste
Spermophile à mante dorée des Cascades,,Non en péril,1992-04-01,Spermophilus saturatus,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Mammifères terrestres,,
Sphaigne à feuilles rondes,,En voie de disparition,2024-11-28,Sphagnum cyclophyllum,Sphaigne à feuilles rondes,,Aucun statut,,Aucune annexe,,Nouvelle-Écosse,Mousses,Un ajout,En attente
Spiranthe des terrains inondés,,En voie de disparition,2018-11-01,Spiranthes diluvialis,Spiranthe des terrains inondés,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,Un ajout,En attente
Starique de Cassin,,Préoccupante,2014-11-28,Ptychoramphus aleuticus,Starique de Cassin,,Préoccupante,2019-05-22,Annexe 1,2019-05-22,"Colombie-Britannique, Océan Pacifique",Oiseaux,,Ajout à la liste
Stellaire des sables,,Non en péril,1992-04-01,Stellaria arenicola,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Plantes vasculaires,,
Sténote boréal,,Non en péril,1997-04-01,Stenotus borealis,,,Aucun statut,,Aucune annexe,,Yukon,Plantes vasculaires,,
Stéphanomérie à feuilles découpées,,Non en péril,1996-04-01,Stephanomeria runcinata,,,Aucun statut,,Aucune annexe,,"Alberta, Saskatchewan",Plantes vasculaires,,
Sterne caspienne,,Non en péril,1999-04-01,Sterna caspia,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,
Sterne de Dougall,,En voie de disparition,2023-05-05,Sterna dougallii,Sterne de Dougall,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,"Nouveau-Brunswick, Nouvelle-Écosse, Océan Atlantique, Québec",Oiseaux,,Ajout à la liste
Sterne de Forster,,Données insuffisantes,1996-04-01,Sterna forsteri,,,Aucun statut,,Aucune annexe,,"Alberta, Colombie-Britannique, Manitoba, Ontario, Saskatchewan",Oiseaux,,
Sterne pierregarin,,Non en péril,1998-04-01,Sterna hirundo,,,Aucun statut,,Aucune annexe,,"Alberta, Île-du-Prince-Édouard, Manitoba, Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec, Saskatchewan, Terre-Neuve-et-Labrador, Territoires-du-Nord-Ouest",Oiseaux,,
Stichée-Y,,Non en péril,1991-04-01,Allolumpenus hypochromus,,,Aucun statut,,Aucune annexe,,Océan Pacifique,Poissons marins,,
Sturnelle des prés,,Menacée,2011-05-06,Sturnella magna,Sturnelle des prés,,Menacée,2017-11-02,Annexe 1,2017-11-02,"Nouveau-Brunswick, Nouvelle-Écosse, Ontario, Québec",Oiseaux,,Ajout à la liste
Stylophore à deux feuilles,,En voie de disparition,2007-11-30,Stylophorum diphyllum,Stylophore à deux feuilles,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
Sucet de lac,,En voie de disparition,2021-05-05,Erimyzon sucetta,Sucet de lac,,En voie de disparition,2011-06-23,Annexe 1,2003-06-05,Ontario,Poissons d'eau douce,,Promouvoir: Menacée à en voie de disparition
Talinum faux-orpin,,Non en péril,1990-04-01,Talinum sediforme,,,Aucun statut,,Aucune annexe,,Colombie-Britannique,Plantes vasculaires,,
Tanaisie floconneuse,,Préoccupante,2018-04-27,Tanacetum huronense var. floccosum,Tanaisie floconneuse,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,"Alberta, Saskatchewan",Plantes vasculaires,,Ajout à la liste
Taupe à queue glabre,,Préoccupante,2010-11-26,Scalopus aquaticus,Taupe à queue glabre,,Préoccupante,2003-06-05,Annexe 1,2003-06-05,Ontario,Mammifères terrestres,,Ajout à la liste
Taupe de Townsend,,En voie de disparition,2014-11-28,Scapanus townsendii,Taupe de Townsend,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Colombie-Britannique,Mammifères terrestres,,Ajout à la liste
Teigne du yucca,,En voie de disparition,2013-05-03,Tegeticula yuccasella,Teigne du yucca,,En voie de disparition,2005-01-12,Annexe 1,2005-01-12,Alberta,Arthropodes,,Ajout à la liste
Teigne tricheuse du yucca,,En voie de disparition,2013-05-03,Tegeticula corruptrix,Teigne tricheuse du yucca,,En voie de disparition,2007-12-13,Annexe 1,2007-12-13,Alberta,Arthropodes,,Ajout à la liste
Téloschiste ocellé,Population boréale et des Prairies,Préoccupante,2016-11-27,Teloschistes chrysophthalmus,Téloschiste ocellé,Population boréale et des Prairies,Préoccupante,2021-08-12,Annexe 1,2021-08-12,"Manitoba, Ontario",Lichens,,Ajout à la liste
Téloschiste ocellé,Population des Grands Lacs,En voie de disparition,2016-11-27,Teloschistes chrysophthalmus,Téloschiste ocellé,Population des Grands Lacs,En voie de disparition,2021-08-12,Annexe 1,2021-08-12,Ontario,Lichens,,Ajout à la liste
Téphrosie de Virginie,,En voie de disparition,2009-11-27,Tephrosia virginiana,Téphrosie de Virginie,,En voie de disparition,2003-06-05,Annexe 1,2003-06-05,Ontario,Plantes vasculaires,,Ajout à la liste
